,Clicked on Ad
0,1
1,0
2,0
3,1
4,0
5,1
6,1
7,1
8,1
9,1
10,0
11,1
12,0
13,1
14,1
15,1
16,0
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,1
36,0
37,0
38,0
39,1
40,1
41,0
42,1
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,1
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,1
74,0
75,1
76,1
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,0
86,1
87,1
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,0
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,0
120,0
121,1
122,1
123,0
124,1
125,0
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,1
141,1
142,1
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,0
158,1
159,0
160,1
161,0
162,1
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,1
173,1
174,1
175,0
176,0
177,0
178,0
179,1
180,1
181,0
182,0
183,1
184,0
185,1
186,1
187,1
188,0
189,1
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,1
198,1
199,0
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,1
209,1
210,0
211,1
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,1
220,0
221,0
222,1
223,0
224,0
225,0
226,1
227,0
228,0
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,1
241,1
242,1
243,0
244,0
245,1
246,0
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,0
259,0
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,0
269,0
270,1
271,0
272,0
273,1
274,0
275,1
276,0
277,0
278,0
279,1
280,1
281,0
282,0
283,0
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,0
292,1
293,0
294,0
295,0
296,1
297,0
298,1
299,0
